Avon and Somerset,Kerry Barker
Warwickshire,Julie Jackson
Lincolnshire,Lucinda Preston
Cleveland,Barry Coppinger
Lancashire,Clive Grunshaw
Suffolk,Cath Pickles
South Yorkshire,Alan Billings
Nottinghamshire,Paddy Tipping 
Gwent,Jeff Cuthbert 
Humberside,Keith Hunter
Staffordshire,George Adamson
South Wales,Alun Michael
Dyfed Powys,Kevin Madge 
Hertfordshire,Kerry Pollard
West Yorkshire,Mark Burns-Williamson 
Sussex,Michael Jones
Bedfordshire,Olly Martins 
Kent,Tristan Osborne
Northumbria ,Vera Baird
Merseyside,Jane Kennedy
West Mercia,Daniel Walton
Cambridgeshire,Dave Baigent
Cheshire,David Keane
Devon and Cornwall,Gareth Derrick
Dorset,Patrick Canavan
Norfolk,Chris Jones
North Wales,David Taylor 
Hampshire,Robin Price
Essex,Chris Vince
Surrey,Howard Kay
Derbyshire,Hardyal Dhindsa
Gloucestershire,Barry Kirby
North Yorkshire,Steve Howley
Leicestershire,Lord Bach
Cumbria,Reg Watson
Durham,Ron Hogg
Northamptonshire ,Kevin McKeever
Thames Valley,Laetisia Carter
West Midlands,David Jamieson
Wiltshire,Kevin Small
